Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8668478260869565,0.65625,0.3559322033898305,0.46153846153846156
Random Forest,0.842391304347826,0.5384615384615384,0.11864406779661017,0.19444444444444445
